Year,Day,Hour,Minutes,Status,Activity,Temp,Blocknumber,Latitude,Longitude,Altitude,Speed,Hdop,Num_of_sats,Fix_time,2D/3D
21,120,8,0,2,3,25,25,-32.660254,152.18341,2,0,1.3,6,73,3
21,120,9,0,2,2,28,26,-32.661449,152.183105,0,0,1.4,5,48,3
21,120,10,0,2,24,26,27,-32.669186,152.178858,27,0,1.4,5,38,3
21,120,11,0,2,0,29,28,-32.669225,152.178756,4,0,1.1,6,64,3
21,120,12,0,2,0,30,29,-32.669199,152.178654,0,0,1.4,7,38,3
21,120,13,0,2,0,31,30,-32.66932,152.178782,21,0,1.4,6,38,3
21,120,14,0,2,0,33,31,-32.669517,152.178502,2,0,1.4,6,38,3
21,120,15,0,2,0,32,32,-32.669199,152.178782,0,0,1.2,7,38,3
21,120,16,0,2,0,31,33,-32.669244,152.178705,13,0,0.9,9,38,3
21,120,17,0,2,0,31,34,-32.669466,152.179341,6,0,1.2,7,38,3
21,120,18,0,2,0,32,35,-32.669307,152.179367,19,0,1.1,8,38,3
21,120,19,0,2,0,33,36,-32.669364,152.179392,15,0,0.9,8,38,3
21,120,20,0,2,0,33,37,-32.669314,152.179443,14,0,1,9,38,3
21,120,21,0,2,0,35,38,-32.66925,152.179189,0,0,1.3,7,38,3
21,120,22,0,2,41,25,39,-32.668112,152.174738,1,0.1,1.3,6,38,3
21,120,23,0,2,9,25,40,-32.667998,152.174865,0,0,1.3,7,37,3
21,121,0,0,2,36,23,41,-32.678863,152.18102,0,0,1.7,6,38,3
21,121,1,0,2,30,21,42,-32.680224,152.183232,0,0,1.9,5,38,3
21,121,2,0,2,0,29,43,-32.678806,152.180562,14,0,1,7,38,3
21,121,3,0,2,0,32,44,-32.679022,152.179723,8,0,1.3,5,38,3
21,121,4,0,2,0,30,45,-32.679149,152.17985,108,0,1.3,6,38,3
21,121,5,0,2,0,33,46,-32.679022,152.179748,0,0,0.8,9,40,3
21,121,6,0,2,5,30,47,-32.679092,152.17985,2,0,0.8,10,38,3
21,121,7,0,2,0,29,48,-32.679295,152.179468,17,0,1.1,8,38,3
21,121,8,0,2,4,35,49,-32.678863,152.179367,5,0,0.7,11,38,3
21,121,9,0,2,0,31,50,-32.678253,152.181808,0,0,0.9,9,38,3
21,121,10,0,2,0,32,51,-32.67817,152.181961,0,0,0.8,9,38,3
21,121,11,0,2,16,34,52,-32.679346,152.179672,3,0,0.8,10,38,3
21,121,12,0,2,0,35,53,-32.679893,152.180053,0,0,1,9,38,3
21,121,13,0,2,0,35,54,-32.679944,152.180104,4,0,1.4,8,38,3
21,121,14,0,2,0,38,55,-32.679957,152.180104,7,0,1,10,37,3
21,121,15,0,2,0,37,56,-32.68002,152.180155,0,0,0.8,11,38,3
21,121,16,0,2,0,31,57,-32.679995,152.180155,2,0,1,8,38,3
21,121,17,0,2,20,32,58,-32.678577,152.177408,3,0,0.9,9,38,3
21,121,18,0,2,31,27,59,-32.679035,152.179621,10,0,0.9,9,37,3
21,121,19,0,2,0,30,60,-32.679086,152.179824,6,0,0.8,9,38,3
21,121,20,0,2,0,29,61,-32.679181,152.179773,7,0,0.7,12,38,3
21,121,21,0,2,22,25,62,-32.678869,152.180765,7,0,0.9,9,40,3
21,121,22,0,2,3,25,63,-32.679156,152.180943,9,0,0.9,9,39,3
21,121,23,0,2,1,27,64,-32.67913,152.179748,8,0,0.9,8,37,3
21,122,0,0,2,0,31,65,-32.679124,152.179646,0,0,1.3,7,109,3
21,122,1,0,2,1,28,66,-32.679003,152.179901,20,0,1,8,38,3
21,122,2,0,2,0,30,67,-32.678965,152.179697,12,0,1,7,38,3
21,122,3,0,2,0,28,68,-32.679009,152.179824,17,0,1.4,7,38,3
21,122,4,0,2,0,27,69,-32.678971,152.179977,53,0,0.9,9,38,3
21,122,5,0,2,0,30,70,-32.679168,152.179595,0,0,1.2,7,38,3
21,122,6,0,2,0,29,71,-32.679016,152.179901,0,0,0.8,10,38,3
21,122,7,0,2,1,28,72,-32.679098,152.17985,1,0,0.9,9,40,3
21,122,8,0,2,0,28,73,-32.679073,152.17985,26,0,1,6,38,3
21,122,9,0,2,1,31,74,-32.679016,152.179723,15,0,1,9,38,3
21,122,10,0,2,0,31,75,-32.678946,152.179773,27,0,1.1,7,38,3
21,122,11,0,2,0,31,76,-32.678755,152.179824,70,0,1,8,38,3
21,122,12,0,2,0,32,77,-32.678997,152.179672,0,0,1,9,38,3
21,122,13,0,2,0,33,78,-32.679022,152.179672,6,0,0.9,11,38,3
21,122,14,0,2,0,33,79,-32.678997,152.179697,16,0,0.9,10,38,3
21,122,15,0,2,0,33,80,-32.678997,152.179723,0,0,0.9,10,38,3
21,122,16,0,2,0,35,81,-32.679086,152.179621,0,0,0.9,9,38,3
21,122,17,0,2,5,34,82,-32.679149,152.17985,15,0,0.9,9,37,3
21,122,18,0,2,36,25,83,-32.669752,152.171279,0,0.2,0.9,9,38,3
21,122,19,0,2,44,25,84,-32.669345,152.17573,5,0.9,0.8,10,38,3
21,122,20,0,2,5,27,85,-32.667934,152.174891,0,0,0.8,11,38,3
21,122,21,0,2,1,30,86,-32.667845,152.174992,18,0,1.1,8,38,3
21,122,22,0,2,0,30,87,-32.667908,152.174789,11,0,0.9,10,37,3
21,122,23,0,2,79,20,88,-32.67056,152.184758,0,0.3,0.8,10,38,3
21,123,0,0,2,11,23,89,-32.678819,152.180562,4,0,0.8,10,38,3
21,123,1,0,2,24,25,90,-32.678679,152.178476,11,0,1,8,38,3
21,123,2,0,2,0,32,91,-32.678723,152.178604,1,0,0.9,8,38,3
21,123,3,0,2,3,25,92,-32.671272,152.173365,4,0,0.9,8,38,3
21,123,4,0,2,35,22,93,-32.668958,152.179138,8,0,1.1,7,38,3
21,123,5,0,2,0,25,94,-32.678812,152.180689,17,0,0.8,10,38,3
21,123,6,0,2,10,29,95,-32.679264,152.180384,2,0,0.7,12,38,3
21,123,7,0,2,0,32,96,-32.679257,152.180384,7,0,0.8,11,38,3
21,123,8,0,2,0,34,97,-32.67927,152.180358,12,0,0.7,12,38,3
21,123,9,0,2,0,40,98,-32.679906,152.180689,0,0,1,8,38,3
21,123,10,0,2,0,38,99,-32.679938,152.180689,8,0,0.8,10,38,3
21,123,11,0,2,0,36,100,-32.679925,152.180689,6,0,0.9,9,38,3
21,123,12,0,2,0,33,101,-32.680065,152.180765,42,0,1,9,37,3
21,123,13,0,2,0,37,102,-32.67995,152.180689,17,0,0.9,10,38,3
21,123,14,0,2,1,37,103,-32.680007,152.180689,14,0,0.9,10,38,3
21,123,15,0,2,3,36,104,-32.67981,152.180664,7,0,0.8,11,38,3
21,123,16,0,2,0,31,105,-32.679918,152.18074,3,0,0.9,9,38,3
21,123,17,0,2,1,31,106,-32.679938,152.180689,5,0,0.9,9,38,3
21,123,18,0,2,18,27,107,-32.677986,152.177307,0,0,0.8,10,38,3
21,123,19,0,2,4,31,108,-32.678049,152.176289,228,0,0.9,9,38,3
21,123,20,0,2,28,32,109,-32.678704,152.180079,0,0.3,0.7,13,39,3
21,123,21,0,2,27,25,110,-32.667902,152.174814,2,0,0.9,10,38,3
21,123,22,0,2,0,28,111,-32.667921,152.174865,0,0,1,9,38,3
21,123,23,0,2,42,27,112,-32.663604,152.176773,8,0.4,0.9,11,38,3
21,124,0,0,2,60,23,113,-32.678602,152.181045,3,0.1,0.9,9,38,3
21,124,1,0,2,0,27,114,-32.679041,152.179672,0,0,1,8,38,3
21,124,2,0,2,0,33,115,-32.679035,152.179748,1,0,0.9,8,38,3
21,124,3,0,2,0,35,116,-32.679028,152.179875,0,0,1.2,7,70,3
21,124,4,0,2,0,37,117,-32.67906,152.17985,10,0,1.2,7,38,3
21,124,5,0,2,0,37,118,-32.679111,152.179748,0,0,1.3,7,38,3
21,124,6,0,2,4,32,119,-32.678895,152.17929,5,0.1,0.7,11,37,3
21,124,7,0,2,0,30,120,-32.675481,152.171254,11,0,0.8,11,38,3
21,124,8,0,2,0,35,121,-32.675544,152.171203,14,0,0.7,11,38,3
21,124,9,0,2,0,36,122,-32.675487,152.171203,2,0,1.1,8,38,3
21,124,10,0,2,0,38,123,-32.675646,152.171254,0,0,0.9,8,38,3
21,124,11,0,2,1,37,124,-32.675621,152.171203,9,0,0.9,9,38,3
21,124,12,0,2,0,33,125,-32.675748,152.171229,9,0,0.7,12,38,3
21,124,13,0,2,0,33,126,-32.675671,152.171203,2,0,0.9,11,38,3
21,124,14,0,2,4,34,127,-32.675659,152.17133,0,0,1,9,38,3
21,124,15,0,2,0,35,128,-32.675659,152.171254,0,0,1.1,9,38,3
21,124,16,0,2,4,35,129,-32.675646,152.171356,3,0,0.8,11,38,3
21,124,17,0,2,13,25,130,-32.678736,152.180562,15,0,1,9,38,3
21,124,18,0,2,61,24,131,-32.674622,152.174789,0,0.2,0.8,10,38,3
21,124,19,0,2,25,25,132,-32.666605,152.175043,12,0,0.7,11,38,3
21,124,20,0,2,1,27,133,-32.667908,152.174891,1,0,0.7,12,39,3
21,124,21,0,2,25,23,134,-32.678876,152.180562,4,0,0.9,10,38,3
21,124,22,0,2,0,29,135,-32.678901,152.179748,0,0,0.8,10,38,3
21,124,23,0,2,23,26,136,-32.679054,152.179951,22,0,1.2,7,38,3
21,125,0,0,2,0,30,137,-32.679124,152.179748,11,0,1,8,40,3
21,125,1,0,2,8,29,138,-32.679041,152.180486,22,0,1.1,7,38,3
21,125,2,0,2,1,27,139,-32.678819,152.180613,19,0,0.9,8,40,3
21,125,3,0,2,0,25,140,-32.678863,152.180714,19,0,0.9,9,38,3
21,125,4,0,2,3,27,141,-32.679066,152.180079,29,0,0.7,11,38,3
21,125,5,0,2,73,21,142,-32.680637,152.159759,1,0.1,0.8,10,39,3
21,125,6,0,2,28,20,143,-32.677255,152.153834,0,0.1,0.7,12,38,3
21,125,7,0,2,0,30,144,-32.677598,152.1548,10,0,0.8,12,38,3
21,125,8,0,2,1,33,145,-32.677649,152.154774,0,0,0.7,12,38,3
21,125,9,0,2,37,26,146,-32.680472,152.158182,0,0,1.1,8,38,3
21,125,10,0,2,0,25,147,-32.675646,152.171229,5,0,0.8,9,38,3
21,125,11,0,2,0,32,148,-32.675665,152.171229,0,0,0.8,10,38,3
21,125,12,0,2,0,34,149,-32.675735,152.171432,21,0,0.9,10,38,3
21,125,13,0,2,0,36,150,-32.675729,152.171407,8,0,1,9,38,3
21,125,14,0,2,0,36,151,-32.675735,152.17133,3,0,1,8,38,3
21,125,15,0,2,0,35,152,-32.675608,152.171432,0,0,0.9,10,38,3
21,125,16,0,2,6,34,153,-32.675678,152.171229,0,0,0.9,10,38,3
21,125,17,0,2,59,25,154,-32.67735,152.175272,1,0.3,0.9,9,38,3
21,125,18,0,2,35,23,155,-32.672194,152.183359,8,0.1,0.8,10,38,3
21,125,19,0,2,58,23,156,-32.67063,152.182825,17,0,0.7,12,38,3
21,125,20,0,2,15,24,157,-32.67906,152.179773,1,0,0.7,12,38,3
21,125,21,0,2,0,34,158,-32.678946,152.179824,15,0,1.1,8,38,3
21,125,22,0,2,0,34,159,-32.679238,152.179367,0,0,1.5,8,38,3
21,125,23,0,2,0,33,160,-32.679175,152.17985,0,0,0.8,9,41,2
21,126,0,0,2,65,27,161,-32.685119,152.18608,0,0.5,1.1,8,39,3
21,126,1,0,2,2,28,162,-32.696175,152.192642,13,0,1.4,6,38,3
